City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
149,Castro,BR,2020-10-27 23:18:00,-24.79,-50.01,62.19,61,0,3.62
150,Thompson,CA,2020-10-27 23:18:00,55.74,-97.86,24.8,62,75,8.05
151,Fort Nelson,CA,2020-10-27 23:15:04,58.81,-122.7,33.8,74,75,8.05
152,Krasnovishersk,RU,2020-10-27 23:18:01,60.41,57.08,27.88,98,99,6.82
153,Georgetown,MY,2020-10-27 23:14:46,5.41,100.34,78.8,94,40,3.36
154,Laje,BR,2020-10-27 23:18:01,-10.18,-40.97,72.1,81,100,0.92
155,Verkhnyaya Inta,RU,2020-10-27 23:18:01,65.98,60.31,24.89,98,100,7.99
156,Ribeira Grande,PT,2020-10-27 23:18:02,38.52,-28.7,63.28,61,99,5.7
157,Pangnirtung,CA,2020-10-27 23:18:02,66.15,-65.71,14.0,61,20,5.82
158,Kirkwall,GB,2020-10-27 23:18:02,58.98,-2.96,48.2,93,100,5.82
159,Roald,NO,2020-10-27 23:18:02,62.58,6.13,46.4,75,75,5.82
160,Xining,CN,2020-10-27 23:18:02,36.62,101.77,29.34,94,43,1.07
161,Batemans Bay,AU,2020-10-27 23:18:02,-35.72,150.18,64.0,83,25,1.01
162,Tiznit,MA,2020-10-27 23:18:03,29.58,-9.5,62.53,63,0,1.05
163,Shipunovo,RU,2020-10-27 23:18:03,52.16,82.22,35.44,76,83,16.78
164,Awjilah,LY,2020-10-27 23:17:56,29.11,21.29,72.01,37,4,11.48
165,Isangel,VU,2020-10-27 23:18:03,-19.55,169.27,79.36,70,8,16.58
166,Babu,CN,2020-10-27 23:18:04,24.42,111.52,65.01,78,66,6.11
167,East London,ZA,2020-10-27 23:18:04,-33.02,27.91,69.8,83,33,17.54
168,Lavrentiya,RU,2020-10-27 23:18:04,65.58,-171.0,30.87,92,100,10.4
169,Tahta,EG,2020-10-27 23:18:04,26.77,31.5,75.2,53,0,9.17
170,Acapulco,MX,2020-10-27 23:18:05,16.86,-99.89,86.0,79,90,6.93
171,Port Alfred,ZA,2020-10-27 23:18:05,-33.59,26.89,64.45,84,35,16.06
172,Iqaluit,CA,2020-10-27 23:15:50,63.75,-68.51,19.4,73,90,3.36
173,Talara,PE,2020-10-27 23:18:05,-4.58,-81.27,65.79,85,9,14.81
174,Kang,BW,2020-10-27 23:18:05,-23.68,22.79,77.43,22,0,9.86
175,Saint Anthony,US,2020-10-27 23:17:26,45.02,-93.22,33.8,47,1,16.11
176,Kolomna,RU,2020-10-27 23:15:26,55.08,38.78,39.2,100,0,6.71
177,Beringovskiy,RU,2020-10-27 23:18:06,63.05,179.32,27.43,92,85,11.81
178,Beisfjord,NO,2020-10-27 23:18:06,68.38,17.6,30.2,86,0,6.93
179,Stromness,GB,2020-10-27 23:18:06,58.97,-3.3,48.2,93,100,5.82
180,Alofi,NU,2020-10-27 23:18:05,-19.06,-169.92,77.0,78,75,19.46
181,Lompoc,US,2020-10-27 23:13:40,34.64,-120.46,71.01,43,1,14.99
182,Tuktoyaktuk,CA,2020-10-27 23:18:07,69.45,-133.04,14.0,85,90,12.75
183,Dingle,PH,2020-10-27 23:18:07,11.0,122.67,78.8,85,78,2.19
184,Doha,QA,2020-10-27 23:17:43,25.29,51.53,80.6,65,0,4.7
185,Kavieng,PG,2020-10-27 23:18:08,-2.57,150.8,84.47,66,96,3.27
186,Skibbereen,IE,2020-10-27 23:18:08,51.55,-9.27,42.8,87,40,12.75
187,Mar Del Plata,AR,2020-10-27 23:18:08,-38.0,-57.56,59.0,58,0,6.93
188,Kasongo-Lunda,CD,2020-10-27 23:18:08,-6.47,16.82,71.64,92,77,1.1
189,Klaksvik,FO,2020-10-27 23:18:08,62.23,-6.59,42.8,87,91,10.29
