City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
262,Calvinia,ZA,-31.47,19.78,55.96,38,80,5.37,broken clouds
263,Sola,VU,-13.88,167.55,80.38,80,9,18.9,clear sky
264,Kiama,AU,-34.68,150.87,62.01,95,91,5.01,light rain
265,Xiamen,CN,24.48,118.08,71.53,67,94,11.68,overcast clouds
266,Gao,ML,16.64,1.64,81.09,15,0,7.2,clear sky
267,Aklavik,CA,68.22,-135.01,18.66,89,81,4.29,broken clouds
268,Daru,PG,-9.08,143.21,80.83,80,29,5.73,moderate rain
269,Molango,MX,20.78,-98.72,58.37,100,45,5.75,scattered clouds
270,Keti Bandar,PK,24.14,67.45,77.67,66,0,5.82,clear sky
271,Naze,JP,28.37,129.48,71.2,74,48,7.56,scattered clouds
272,Dingle,PH,11.0,122.67,78.67,87,51,3.27,broken clouds
273,Sept-Iles,CA,50.2,-66.38,30.99,78,100,5.99,overcast clouds
274,Klaksvik,FO,62.23,-6.59,47.93,81,96,17.02,overcast clouds
275,Thompson,CA,55.74,-97.86,14.85,87,57,5.23,broken clouds
276,Isangel,VU,-19.55,169.27,78.33,63,17,17.18,few clouds
277,Yar-Sale,RU,66.83,70.83,5.79,88,45,14.74,scattered clouds
278,Guerrero Negro,MX,27.98,-114.06,73.53,25,0,13.4,clear sky
279,Pindiga,NG,9.98,10.93,75.43,34,59,4.59,broken clouds
280,Santo Estevao,BR,-12.43,-39.25,74.46,89,99,7.65,overcast clouds
281,Chaihe,CN,44.77,129.7,29.86,87,0,4.88,clear sky
282,Rampura,IN,30.25,75.23,62.26,29,0,1.7,clear sky
283,Mao,ES,39.89,4.27,66.07,68,80,7.92,broken clouds
284,Te Anau,NZ,-45.42,167.72,60.75,60,71,2.21,broken clouds
285,Myitkyina,MM,25.38,97.4,70.63,82,3,2.28,clear sky
286,Gimli,CA,50.63,-96.99,28.0,98,24,8.01,few clouds
287,Lerwick,GB,60.15,-1.15,49.19,83,100,8.25,light rain
288,Vokhma,RU,58.93,46.76,36.63,93,100,7.52,overcast clouds
289,Bardiyah,LY,31.76,25.09,69.6,66,0,6.26,clear sky
290,Leshukonskoye,RU,64.9,45.76,42.37,87,97,12.59,overcast clouds
291,Gushikawa,JP,26.35,127.87,75.13,72,26,10.54,scattered clouds
292,Tigil,RU,57.8,158.67,36.32,77,0,6.8,clear sky
293,Atar,MR,20.52,-13.05,82.04,21,12,9.35,few clouds
294,Salalah,OM,17.02,54.09,78.26,71,20,3.2,few clouds
295,Billings,US,45.78,-108.5,42.01,73,55,4.0,broken clouds
296,Gornyy,RU,55.12,83.91,20.34,96,100,17.52,overcast clouds
297,Chuy,UY,-33.7,-53.46,58.17,87,88,14.65,light rain
298,Great Yarmouth,GB,52.61,1.73,45.0,97,56,4.0,broken clouds
299,Sao Raimundo Nonato,BR,-9.02,-42.7,82.04,60,69,1.1,broken clouds
300,Gat,IL,31.61,34.76,75.0,100,98,5.3,overcast clouds
301,Solnechnyy,RU,50.72,136.63,31.96,96,100,7.14,overcast clouds
302,Nouakchott,MR,18.09,-15.98,87.03,27,68,16.33,broken clouds
303,Sechura,PE,-5.56,-80.82,70.34,68,82,16.04,broken clouds
304,Ati,TD,13.22,18.34,86.0,16,0,12.01,clear sky
305,Colac,AU,-38.33,143.58,63.0,78,61,5.99,broken clouds
306,Karratha,AU,-20.74,116.85,74.57,78,0,5.46,light rain
307,Thinadhoo,MV,0.53,72.93,82.94,75,78,12.39,broken clouds
308,San Javier,ES,37.81,-0.84,63.0,63,69,1.01,broken clouds
